epoch,loss,train_dice,validation_dice
1,0.21986987707870348,0.9653452628028872,0.959446751154009
2,0.04211553778233273,0.9789425006890066,0.9730957501312943
3,0.03423594457230398,0.9808824310155687,0.9755511842471941
4,0.02844248100050858,0.983275391919663,0.9766980826252242
5,0.025957673521978513,0.9834547324972538,0.9771253827496439
6,0.02432066308600562,0.9821654323531825,0.972921028568165
7,0.025952208787202835,0.9843980599350248,0.974341396320397
8,0.025145874425236667,0.9838874640206499,0.9738178535845892
9,0.024224654039634124,0.9852160241351513,0.9808137775507472
10,0.022870358478810107,0.9855832651548578,0.9806536537189244
11,0.020661100013447658,0.9879302819315017,0.9811848063751416
12,0.019013734434598258,0.9879596539558311,0.9812731266942903
13,0.020441511878743768,0.9878060632352614,0.981376522683128
14,0.019290390258122767,0.9881198015565341,0.9828010830803637
15,0.018853235158271024,0.9888213327557999,0.9823843278734433
16,0.018343249302623526,0.9877782474147486,0.980049327234937
17,0.017940939204501256,0.9886353249246114,0.9819901673038905
18,0.017170176675011004,0.9893557903357797,0.9837982608817503
19,0.018017357581162026,0.988313290373562,0.9820164662939739
20,0.018561581316004907,0.9864707409795944,0.9802915792400789
